Title,DOI,Journal,Published on,Policy citation count,Type,Publisher,Authors,Your tags,ORCIDs
"Transportation Risk Behaviors Among High School Students — Youth Risk Behavior Survey, United States, 2019",10.15585/mmwr.su6901a9,MMWR Supplements,8/21/2020,5,journal-article,Centers for Disease Control MMWR Office,,,
"Disparities in Incidence of COVID-19 Among Underrepresented Racial/Ethnic Groups in Counties Identified as Hotspots During June 5–18, 2020 — 22 States, February–June 2020",10.15585/mmwr.mm6933e1,MMWR. Morbidity and Mortality Weekly Report,8/21/2020,12,journal-article,Centers for Disease Control MMWR Office,Jazmyn Moore - CDC COVID-19 Response Team.,,
"National, Regional, State, and Selected Local Area Vaccination Coverage Among Adolescents Aged 13–17 Years — United States, 2019",10.15585/mmwr.mm6933a1,MMWR. Morbidity and Mortality Weekly Report,8/21/2020,8,journal-article,Centers for Disease Control MMWR Office,,,
"Mass Testing for SARS-CoV-2 in 16 Prisons and Jails — Six Jurisdictions, United States, April–May 2020",10.15585/mmwr.mm6933a3,MMWR. Morbidity and Mortality Weekly Report,8/21/2020,4,journal-article,Centers for Disease Control MMWR Office,,,
"Prescription Opioid Misuse and Use of Alcohol and Other Substances Among High School Students — Youth Risk Behavior Survey, United States, 2019",10.15585/mmwr.su6901a5,MMWR Supplements,8/21/2020,6,journal-article,Centers for Disease Control MMWR Office,,,
"Tobacco Product Use Among High School Students — Youth Risk Behavior Survey, United States, 2019",10.15585/mmwr.su6901a7,MMWR Supplements,8/21/2020,2,journal-article,Centers for Disease Control MMWR Office,,,
"Trends in Violence Victimization and Suicide Risk by Sexual Identity Among High School Students — Youth Risk Behavior Survey, United States, 2015–2019",10.15585/mmwr.su6901a3,MMWR Supplements,8/21/2020,11,journal-article,Centers for Disease Control MMWR Office,,,
"Racial and Ethnic Disparities Among COVID-19 Cases in Workplace Outbreaks by Industry Sector — Utah, March 6–June 5, 2020",10.15585/mmwr.mm6933e3,MMWR. Morbidity and Mortality Weekly Report,8/21/2020,22,journal-article,Centers for Disease Control MMWR Office,,,
"Condom and Contraceptive Use Among Sexually Active High School Students — Youth Risk Behavior Survey, United States, 2019",10.15585/mmwr.su6901a2,MMWR Supplements,8/21/2020,1,journal-article,Centers for Disease Control MMWR Office,,,
"Interpersonal Violence Victimization Among High School Students — Youth Risk Behavior Survey, United States, 2019",10.15585/mmwr.su6901a4,MMWR Supplements,8/21/2020,6,journal-article,Centers for Disease Control MMWR Office,,,
"Overview and Methods for the Youth Risk Behavior Surveillance System — United States, 2019",10.15585/mmwr.su6901a1,MMWR Supplements,8/21/2020,8,journal-article,Centers for Disease Control MMWR Office,,,
Cardiorespiratory Fitness in Youth: An Important Marker of Health: A Scientific Statement From the American Heart Association,10.1161/cir.0000000000000866,Circulation,8/18/2020,1,journal-article,Ovid Technologies (Wolters Kluwer Health),,,
National reporting of deaths after enhanced Ebola surveillance in Sierra Leone,10.1371/journal.pntd.0008624,PLoS Neglected Tropical Diseases,8/18/2020,5,journal-article,Public Library of Science (PLoS),"Mohamed F Jalloh - Centers for Disease Control and Prevention; Mohamed F Jalloh - Karolinska Institute; Anna Mia Ekström - Karolinska Institute; Sara Hersey - Centers for Disease Control and Prevention; Charles Alpren - Centers for Disease Control and Prevention; Evelyn Castle - eHealth Africa; Rebecca Bunnell - Centers for Disease Control and Prevention; John T Redd - Centers for Disease Control and Prevention; Amara Jambai - Ministry of Health and Sanitation, Freetown, Sierra Leone; Reinhard Kaiser - Centers for Disease Control and Prevention; Mariam Diop - eHealth Africa; Anna Mia Ekström - Karolinska University Hospital; Helena Nordenstedt - Karolinska Institute",,
Persistence of Bacteriophage Phi 6 on Porous and Nonporous Surfaces and the Potential for Its Use as an Ebola Virus or Coronavirus Surrogate,10.1128/aem.01482-20,Applied and Environmental Microbiology,8/18/2020,5,journal-article,American Society for Microbiology,Carrie Whitworth - Centers for Disease Control and Prevention; Angela Coulliette-Salmond - Centers for Disease Control and Prevention; Judith Noble-Wang - Centers for Disease Control and Prevention; Hollis Houston - Centers for Disease Control and Prevention; Yi Mu - Centers for Disease Control and Prevention; Marla Martinez-Smith - Centers for Disease Control and Prevention; Laura Rose - Centers for Disease Control and Prevention,,
Risk for Subdeltoid Bursitis After Influenza Vaccination,10.7326/m19-3176,Annals of Internal Medicine,8/18/2020,2,journal-article,American College of Physicians,Elisabeth M Hesse - Centers for Disease Control and Prevention; Ousseny Zerbo - Kaiser Permanente; Scott C Olson - Marshfield Clinic; James D Nordin - HealthPartners; Lisa A Jackson - Kaiser Permanente; Michelle L Henninger - Kaiser Permanente; Darios Getahun - Kaiser Permanente; Matthew F Daley - Kaiser Permanente; Ronald A Navarro - Kaiser Permanente; Chengyi Zheng - Kaiser Permanente; Jonathan Duffy - Centers for Disease Control and Prevention,,0000-0002-1785-0218; 0000-0002-2594-1929; 0000-0002-3359-5843; 0000-0002-4194-0029; 0000-0002-6817-9153; 0000-0002-8060-0940; 0000-0002-8380-6215; 0000-0003-1309-4096; 0000-0003-1869-6440; 0000-0003-3610-8841
A method for calculating BMI z-scores and percentiles above the 95<sup>th</sup> percentile of the CDC growth charts,10.1080/03014460.2020.1808065,Annals of Human Biology,8/17/2020,1,journal-article,Informa UK Limited,Rong Wei - National Center for Health Statistics; Rong Wei - Centers for Disease Control and Prevention; Cynthia L Ogden - National Center for Health Statistics; Cynthia L Ogden - Centers for Disease Control and Prevention; Van Parsons - National Center for Health Statistics; Van Parsons - Centers for Disease Control and Prevention; David S Freedman - National Center for Chronic Disease Prevention and Health Promotion; David S Freedman - Centers for Disease Control and Prevention; Craig M Hales - National Center for Health Statistics; Craig M Hales - Centers for Disease Control and Prevention,,0000-0001-8014-0289; 0000-0002-2355-1177; 0000-0003-0204-4982; 0000-0003-1147-7157
Household Transmission of SARS-CoV-2 in the United States,10.1093/cid/ciaa1166,Clinical Infectious Diseases,8/16/2020,15,journal-article,Oxford University Press (OUP),Nathaniel M Lewis - Oklahoma State Department of Health; Scott A Nabity - Centers for Disease Control and Prevention; Jacqueline E Tate - Centers for Disease Control and Prevention; Angela Dunn - Oklahoma State Department of Health; Ryan P Westergaard - Wisconsin Department of Health Services; Ian W Pray - Wisconsin Department of Health Services; Kim Christensen - Oklahoma State Department of Health; Aron J Hall - Centers for Disease Control and Prevention; Natalie J Thornburg - Centers for Disease Control and Prevention; Lucia C Pawloski - Centers for Disease Control and Prevention; Amy C Schumacher - Centers for Disease Control and Prevention; John C Watson - Centers for Disease Control and Prevention; Susan I Gerber - Centers for Disease Control and Prevention; Lisa A Mills - Centers for Disease Control and Prevention; Sandra Lester - Centers for Disease Control and Prevention; Garrett Fox - Centers for Disease Control and Prevention; Allison Binder - Centers for Disease Control and Prevention; Lindsey M Duca - Centers for Disease Control and Prevention; Almea Matanock - Centers for Disease Control and Prevention; Perrine Marcenac - Centers for Disease Control and Prevention; Elizabeth A Dietrich - Centers for Disease Control and Prevention; Jared R Rispens - Centers for Disease Control and Prevention; Michelle Banks - Centers for Disease Control and Prevention; Christopher J Gregory - Centers for Disease Control and Prevention; Rebecca J Chancey - Centers for Disease Control and Prevention; Jeni Vuong - Centers for Disease Control and Prevention; Michelle O'Hegarty - Centers for Disease Control and Prevention; Phillip P Salvatore - Centers for Disease Control and Prevention; Victoria L Fields - Centers for Disease Control and Prevention; Cuc H Tran - Centers for Disease Control and Prevention; Katherine A Battey - Centers for Disease Control and Prevention; Henry Njuguna - Centers for Disease Control and Prevention; Eric Pevzner - Centers for Disease Control and Prevention; Anna R Yousaf - Centers for Disease Control and Prevention; Mary Pomeroy - Centers for Disease Control and Prevention; Ashutosh Wadhwa - Centers for Disease Control and Prevention; Daniel Owusu - Centers for Disease Control and Prevention; Sherry Yin - Centers for Disease Control and Prevention; Sean A Buono - Centers for Disease Control and Prevention; Patrick Dawson - Centers for Disease Control and Prevention; Elizabeth M Rabold - Centers for Disease Control and Prevention; Mark Fajans - Centers for Disease Control and Prevention; Brandi Freeman - Centers for Disease Control and Prevention; Tair Kiphibane - Lake County; Rebecca L Laws - Centers for Disease Control and Prevention; Radhika Gharpure - Centers for Disease Control and Prevention; Erin E Conners - Centers for Disease Control and Prevention; Dongni Ye - Centers for Disease Control and Prevention; Victoria T Chu - Centers for Disease Control and Prevention; Hannah E Reses - Centers for Disease Control and Prevention; Hannah L Kirking - Centers for Disease Control and Prevention,,
"Hospitalization Rates and Characteristics of Children Aged <18 Years Hospitalized with Laboratory-Confirmed COVID-19 — COVID-NET, 14 States, March 1–July 25, 2020",10.15585/mmwr.mm6932e3,MMWR. Morbidity and Mortality Weekly Report,8/14/2020,32,journal-article,Centers for Disease Control MMWR Office,"Lindsay Kim - Centers for Disease Control and Prevention; Shikha Garg - United States Department of Health and Human Services; Shikha Garg - Centers for Disease Control and Prevention; Gayle E Langley - Centers for Disease Control and Prevention; Aron J Hall - Centers for Disease Control and Prevention; Alicia M Fry - Centers for Disease Control and Prevention; Lynnette Brammer - CDC COVID-NET Team; Andrea Price - Lake County; Ilene Risk - Lake County; William Schaffner - Vanderbilt University; H Keipp Talbot - Vanderbilt University; Nicole West - Oregon Health Authority; Melissa Sutton - Oregon Health Authority; Jessica Shiltz - Ohio Department of Health; Laurie M Billing - Ohio Department of Health; Christina B Felsen - University of Rochester; Nancy M Bennett - University of Rochester; Nancy L Spina - New York State Department of Health; Grant Barney - New York State Department of Health; Chad Smelser - New Mexico Department of Health; Sarah Shrum Davis - New Mexico Emerging Infections Program; Erica Bye - Minnesota Department of Health; Ruth Lynfield - Minnesota Department of Health; Sue Kim - Michigan Department of Health and Human Services; Kimberly Fox - Michigan Department of Health and Human Services; Maya Monroe - Maryland Department of Health; Patricia Ryan - Maryland Department of Health; Andy Weigel - Alabama Department of Public Health; Kyle P Openo - United States Department of Veterans Affairs; Evan J Anderson - Veterans Health Administration; Kimberly Yousey-Hindes - Yale University; James Meek - Yale University; Breanna Kawasaki - Colorado Department of Public Health and Environment; Isaac Armistead - University of Colorado Anschutz Medical Campus; Arthur Reingold - University of California, Berkeley; Shua J Chai - CDC COVID-NET Team; Anita Kambhampati - CDC COVID-NET Team; Alissa O’Halloran - CDC COVID-NET Team; Michael Whitaker - CDC COVID-NET Team; Evan J Anderson - Emory University; Covid-Net Surveillance Team - California Emerging Infections Program",,
"COVID-19–Associated Multisystem Inflammatory Syndrome in Children — United States, March–July 2020",10.15585/mmwr.mm6932e2,MMWR. Morbidity and Mortality Weekly Report,8/14/2020,38,journal-article,Centers for Disease Control MMWR Office,Ermias D Belay - Centers for Disease Control and Prevention,,
"Safety, Tolerability, and Immunogenicity of Plasmodium falciparum Sporozoite Vaccine Administered by Direct Venous Inoculation to Infants and Young Children: Findings From an Age De-escalation, Dose-Escalation, Double-blind, Randomized Controlled Study in Western Kenya",10.1093/cid/ciz925,Clinical Infectious Diseases,8/14/2020,1,journal-article,Oxford University Press (OUP),"Laura C Steinhardt - Centers for Disease Control and Prevention; Thomas L Richie - Sanaria Inc, Rockville, Maryland, USA; Reuben Yego - Kenya Medical Research Institute; Dorcas Akach - Kenya Medical Research Institute; Mary J Hamel - Centers for Disease Control and Prevention; Julie Gutman - Centers for Disease Control and Prevention; Ryan E Wiegand - Centers for Disease Control and Prevention; Elizabeth L Nzuu - Kenya Medical Research Institute; Allan Dungani - Kenya Medical Research Institute; Natasha Kc - Sanaria Inc, Rockville, Maryland, USA; Tooba Murshedkar - Sanaria Inc, Rockville, Maryland, USA; L W Preston Church - Sanaria Inc, Rockville, Maryland, USA; B Kim Lee Sim - Sanaria Inc, Rockville, Maryland, USA; Peter F Billingsley - Sanaria Inc, Rockville, Maryland, USA; Eric R James - Sanaria Inc, Rockville, Maryland, USA; Yonas Abebe - Sanaria Inc, Rockville, Maryland, USA; Simon Kariuki - Kenya Medical Research Institute; Aaron M Samuels - Centers for Disease Control and Prevention; Kephas Otieno - Kenya Medical Research Institute; Tony Sang - Kenya Medical Research Institute; S Patrick Kachur - Columbia University; S Patrick Kachur - Centers for Disease Control and Prevention; David Styers - The Emmes Corporation, Rockville, Maryland, USA; Kelly Schlessman - The Emmes Corporation, Rockville, Maryland, USA; Ginnie Abarbanell - Washington University in St. Louis; Stephen L Hoffman - Sanaria Inc, Rockville, Maryland, USA; Robert A Seder - National Institutes of Health; Martina Oneko - Kenya Medical Research Institute",,0000-0001-6182-2663; 0000-0001-6769-7322; 0000-0001-9241-5550; 0000-0002-0700-9505; 0000-0002-2184-745X; 0000-0002-2946-5456; 0000-0002-8355-8186; 0000-0002-8586-6019; 0000-0002-8598-8905; 0000-0002-9486-1850; 0000-0003-0021-3324; 0000-0003-0540-9940; 0000-0003-3133-0849
"Notes from the Field: Multidrug-Resistant Tuberculosis Among Workers at Two Food Processing Facilities — Ohio, 2018–2019",10.15585/mmwr.mm6932a6,MMWR. Morbidity and Mortality Weekly Report,8/14/2020,1,journal-article,Centers for Disease Control MMWR Office,,,
"Characteristics of Marijuana Use During Pregnancy — Eight States, Pregnancy Risk Assessment Monitoring System, 2017",10.15585/mmwr.mm6932a2,MMWR. Morbidity and Mortality Weekly Report,8/14/2020,2,journal-article,Centers for Disease Control MMWR Office,,,
"Transmission of SARS-CoV-2 Involving Residents Receiving Dialysis in a Nursing Home — Maryland, April 2020",10.15585/mmwr.mm6932e4,MMWR. Morbidity and Mortality Weekly Report,8/14/2020,1,journal-article,Centers for Disease Control MMWR Office,,,
Exploring the Role of Chemokine Receptor 6 (Ccr6) in the BXD Mouse Model of Gulf War Illness,10.3389/fnins.2020.00818,Frontiers in Neuroscience,8/14/2020,1,journal-article,Frontiers Media SA,Jun Gao - University of Tennessee Health Science Center; Byron C Jones - University of Tennessee Health Science Center; James P O'Callaghan - National Institute for Occupational Safety and Health; Athena Starlard-Davenport - University of Tennessee Health Science Center; Fuyi Xu - University of Tennessee Health Science Center; Diane B Miller - National Institute for Occupational Safety and Health; Lu Lu - University of Tennessee Health Science Center,,0000-0002-2372-4445; 0000-0002-3717-8641; 0000-0002-5952-5771; 0000-0002-6174-3209; 0000-0002-7899-3490; 0000-0002-8938-237X
"Serious Adverse Health Events, Including Death, Associated with Ingesting Alcohol-Based Hand Sanitizers Containing Methanol — Arizona and New Mexico, May–June 2020",10.15585/mmwr.mm6932e1,MMWR. Morbidity and Mortality Weekly Report,8/14/2020,3,journal-article,Centers for Disease Control MMWR Office,Luke Yip - CDC COVID-19 Response Team; Kristine M Schmit - CDC COVID-19 Response Team; Talia Pindyck - CDC COVID-19 Response Team; Michael Melgar - CDC COVID-19 Response Team; Annaliese Mayette - New Mexico Department of Health; Jennifer N Lind - CDC COVID-19 Response Team; Kenneth Komatsu - Arizona Game and Fish Department; Steven Dudley - University of Arizona; S Deblina Datta - CDC COVID-19 Response Team; Kevin R Clarke - CDC COVID-19 Response Team; Daniel E Brooks - Banner Poison and Drug Information Center; Danae Bixler - CDC COVID-19 Response Team; Farshad Shirazi - Emergency Medicine; Steven A Seifert - University of New Mexico; Brandon J Warrick - University of New Mexico; Susan C Smolinske - University of New Mexico; Arthur Chang - CDC COVID-19 Response Team,,
"Mental Health, Substance Use, and Suicidal Ideation During the COVID-19 Pandemic — United States, June 24–30, 2020",10.15585/mmwr.mm6932a1,MMWR. Morbidity and Mortality Weekly Report,8/14/2020,199,journal-article,Centers for Disease Control MMWR Office,Rashon I Lane - Centers for Disease Control and Prevention; Emiko Petrosky - Centers for Disease Control and Prevention; Aleta Christensen - Centers for Disease Control and Prevention; Rashid Njai - Centers for Disease Control and Prevention; Matthew D Weaver - Brigham and Women's Hospital; Matthew D Weaver - Harvard University; Rebecca Robbins - Brigham and Women's Hospital; Rebecca Robbins - Harvard University; Laura K Barger - Brigham and Women's Hospital; Laura K Barger - Harvard University; Charles A Czeisler - Brigham and Women's Hospital; Charles A Czeisler - Harvard University; Charles A Czeisler - Australian Regenerative Medicine Institute; Mark E Howard - University of Melbourne; Shantha M W Rajaratnam - Brigham and Women's Hospital; Shantha M W Rajaratnam - Harvard University,,
Bedaquiline for the Treatment of Multidrug-resistant Tuberculosis in the United States,10.1093/cid/ciz914,Clinical Infectious Diseases,8/14/2020,2,journal-article,Oxford University Press (OUP),"Sundari Mase - World Health Organization - Pakistan; Terence Chorba - Centers for Disease Control and Prevention; Samuel Parks - Centers for Disease Control and Prevention; Ann Belanger - California Department of Public Health; Felicia Dworkin - New York City Department of Health and Mental Hygiene; Barbara Seaworth - Heartland National Tuberculosis Center, San Antonio, Texas, USA.; Jon Warkentin - Tuberculosis Elimination Program, Tennessee Department of Health, Nashville, Tennessee, USA.; Pennan M Barry - Centers for Disease Control and Prevention; Neha Shah - Centers for Disease Control and Prevention; Neha Shah - California Department of Public Health",,
"Relative effectiveness of high dose versus standard dose influenza vaccines in older adult outpatients over four seasons, 2015–16 to 2018–19",10.1016/j.vaccine.2020.08.011,Elsevier BV,8/13/2020,2,works,Elsevier BV,G.K Balasubramani - University of Pittsburgh; Won Suk Choi - Korea University; Mary Patricia Nowalk - University of Pittsburgh; Richard K Zimmerman - University of Pittsburgh; Arnold S Monto - Henry Ford Health System; Arnold S Monto - University of Michigan–Ann Arbor; Emily T Martin - Henry Ford Health System; Emily T Martin - University of Michigan–Ann Arbor; Edward A Belongia - Marshfield Clinic; Huong Q McLean - Marshfield Clinic; Manjusha Gaglani - Baylor Scott & White Health; Kempapura Murthy - Baylor Scott & White Health; Michael L Jackson - Kaiser Permanente Washington Health Research Institute; Lisa A Jackson - Kaiser Permanente Washington Health Research Institute; Jessie R Chung - National Center for Immunization and Respiratory Diseases; Jessie R Chung - Centers for Disease Control and Prevention; Sarah Spencer - National Center for Immunization and Respiratory Diseases; Sarah Spencer - Centers for Disease Control and Prevention; Alicia M Fry - National Center for Immunization and Respiratory Diseases; Alicia M Fry - Centers for Disease Control and Prevention; Manish Patel - National Center for Immunization and Respiratory Diseases; Manish Patel - Centers for Disease Control and Prevention; Brendan Flannery - National Center for Immunization and Respiratory Diseases; Brendan Flannery - Centers for Disease Control and Prevention,,
"Facility-Wide Testing for SARS-CoV-2 in Nursing Homes — Seven U.S. Jurisdictions, March–June 2020",10.15585/mmwr.mm6932e5,MMWR. Morbidity and Mortality Weekly Report,8/11/2020,9,journal-article,Centers for Disease Control MMWR Office,Kelly M Hatfield - CDC COVID-19 Response Team; Snigdha Vallabhaneni - CDC COVID-19 Response Team; Nicola D Thompson - CDC COVID-19 Response Team; Sukarma Tanwar - CDC COVID-19 Response Team; Guillermo V Sanchez - CDC COVID-19 Response Team; Leigh Ellyn Preston - CDC COVID-19 Response Team; Meghan Lyman - CDC COVID-19 Response Team; Denise Hughes - CDC COVID-19 Response Team; Lauren Epstein - CDC COVID-19 Response Team; Peter Boersma - CDC COVID-19 Response Team; Caitlin Biedron - CDC COVID-19 Response Team; Brandon K Attell - CDC COVID-19 Response Team; Mallory Staskus - Vermont Department of Health; Paul Meddaugh - Vermont Department of Health; Kayla Donohue - Vermont Department of Health; Michael Torre - Utah Department of Health; Allyn Nakashima - Utah Department of Health; Rachel Radcliffe - South Carolina Department of Health and Environmental Control; Hannah Ruegner - South Carolina Department of Health and Environmental Control; Claire Youngblood - South Carolina Department of Health and Environmental Control; Molly Howell - North Dakota Department of Health; Tracy K Miller - North Dakota Department of Health; Benjamin Schram - North Dakota Department of Health; Marla Sievers - New Mexico Department of Health; Najibah Rehman - Detroit Health Department; Carla Bezold - Detroit Health Department; Naveen Patil - Arkansas Department of Health; Allison E James - Arkansas Department of Health; Trent Gulley - Arkansas Department of Health; Kelley Garner - Arkansas Department of Health; Lauren Korhonen - CDC COVID-19 Response Team; Kaitlin Forsberg - CDC COVID-19 Response Team; Sujan C Reddy - CDC COVID-19 Response Team; Amber Vasquez - CDC COVID-19 Response Team; John A Jernigan - Centers for Disease Control and Prevention,,
Effect of herpes zoster vaccine and antiviral treatment on risk of ischemic stroke,10.1212/wnl.0000000000010028,Neurology,8/11/2020,1,journal-article,Ovid Technologies (Wolters Kluwer Health),Quanhe Yang - Centers for Disease Control and Prevention; Robert Merritt - Centers for Disease Control and Prevention; Xin Tong - Centers for Disease Control and Prevention; Anping Chang - Centers for Disease Control and Prevention; Mary G George - Centers for Disease Control and Prevention; Yuling Hong - Centers for Disease Control and Prevention,,0000-0001-7688-8112; 0000-0001-7842-5322; 0000-0002-1706-7987; 0000-0003-2270-6402; 0000-0003-4016-8417
"SARS-CoV-2 Transmission and Infection Among Attendees of an Overnight Camp — Georgia, June 2020",10.15585/mmwr.mm6931e1,MMWR. Morbidity and Mortality Weekly Report,8/7/2020,33,journal-article,Centers for Disease Control MMWR Office,Christine M Szablewski - Georgia Department of Public Health; Tatiana M Lanzieri - CDC COVID-19 Response Team; Cherie Drenzek - Georgia Department of Public Health; Emilio Dirlikov - CDC COVID-19 Response Team; Jacqueline E Tate - CDC COVID-19 Response Team; Jaina A Shah - Georgia Department of Public Health; Noah G Schwartz - CDC COVID-19 Response Team; Asfia Mohammed - Georgia Department of Public Health; Robert Montierth - CDC COVID-19 Response Team; Clinton J McDaniel - CDC COVID-19 Response Team; Erin Mayweather - Georgia Department of Public Health; Maranda Lumsden - Georgia Department of Public Health; Hannah L Kirking - CDC COVID-19 Response Team; Peter A Aryee - Georgia Department of Public Health; Ndubuisi Anyalechi - Georgia Department of Public Health; Victoria T Chu - CDC COVID-19 Response Team; Marie Brown - Georgia Department of Public Health; Karen T Chang - CDC COVID-19 Response Team; Anna R Yousaf - CDC COVID-19 Response Team; Rebekah J Stewart - Centers for Disease Control and Prevention,,
"Alcohol Use and Co-Use of Other Substances Among Pregnant Females Aged 12–44 Years — United States, 2015–2018",10.15585/mmwr.mm6931a1,MMWR. Morbidity and Mortality Weekly Report,8/7/2020,6,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Vital Signs:</i> Clinical Characteristics of Patients with Confirmed Acute Flaccid Myelitis, United States, 2018",10.15585/mmwr.mm6931e3,MMWR. Morbidity and Mortality Weekly Report,8/7/2020,1,journal-article,Centers for Disease Control MMWR Office,,,
"COVID-19 Outbreak Among Employees at a Meat Processing Facility — South Dakota, March–April 2020",10.15585/mmwr.mm6931a2,MMWR. Morbidity and Mortality Weekly Report,8/7/2020,17,journal-article,Centers for Disease Control MMWR Office,,,
"Notes from the Field: Characteristics of Meat Processing Facility Workers with Confirmed SARS-CoV-2 Infection — Nebraska, April–May 2020",10.15585/mmwr.mm6931a3,MMWR. Morbidity and Mortality Weekly Report,8/7/2020,9,journal-article,Centers for Disease Control MMWR Office,,,
"Characteristics and Outcomes of Contacts of COVID-19 Patients Monitored Using an Automated Symptom Monitoring Tool — Maine, May–June 2020",10.15585/mmwr.mm6931e2,MMWR. Morbidity and Mortality Weekly Report,8/7/2020,1,journal-article,Centers for Disease Control MMWR Office,Anna Krueger - United States Department of Health and Human Services; Emilio Dirlikov - CDC COVID-19 Response Team; Sara L Huston - United States Department of Health and Human Services; Rebecca A Lincoln - United States Department of Health and Human Services; Andrew E Smith - United States Department of Health and Human Services; Joanna Watson - CDC COVID-19 Response Team; Jayleen K L Gunn - CDC COVID-19 Response Team; Sara Robinson - United States Department of Health and Human Services,,0000-0002-2532-2423; 0000-0003-4190-1289
Occupational Exposure to Secondhand Cannabis Smoke Among Law Enforcement Officers Providing Security at Outdoor Concert Events,10.1093/annweh/wxaa025,Annals of Work Exposures and Health,8/6/2020,1,journal-article,Oxford University Press (OUP),"Douglas M Wiegand - National Institute for Occupational Safety and Health; Li Zhang - CDC, Division of Laboratory Sciences, Atlanta, GA, USA.; Lanqing Wang - CDC, Division of Laboratory Sciences, Atlanta, GA, USA.; George Reed Grimes - National Institute for Occupational Safety and Health; Mark M Methner - National Institute for Occupational Safety and Health; James R Couch - National Institute for Occupational Safety and Health; Benjamin C Blount - CDC, Division of Laboratory Sciences, Atlanta, GA, USA.",,0000-0001-6648-646X; 0000-0003-2577-4611
Comparing self-reported and O*NET-based assessments of job control as predictors of self-rated health for non-Hispanic whites and racial/ethnic minorities,10.1371/journal.pone.0237026,PLOS ONE,8/6/2020,1,journal-article,Public Library of Science (PLoS),"Kaori Fujishiro - National Institute for Occupational Safety and Health; Franziska Koessler - The Good Work Program, WZB Berlin Social Science Center, Berlin, Germany.",,0000-0001-9949-3500; 0000-0003-1743-625X
Review of NIOSH Cannabis-Related Health Hazard Evaluations and Research,10.1093/annweh/wxaa013,Annals of Work Exposures and Health,8/6/2020,1,journal-article,Oxford University Press (OUP),James R Couch - National Institute for Occupational Safety and Health; Bradley King - National Institute for Occupational Safety and Health; Douglas M Wiegand - National Institute for Occupational Safety and Health; Brett J Green - National Institute for Occupational Safety and Health; George Reed Grimes - National Institute for Occupational Safety and Health; Mark M Methner - National Institute for Occupational Safety and Health,,0000-0003-2577-4611
Cannabis: An Emerging Occupational Allergen?,10.1093/annweh/wxaa043,Annals of Work Exposures and Health,8/6/2020,2,journal-article,Oxford University Press (OUP),Gordon Sussman - University of Toronto; Donald H Beezhold - National Institute for Occupational Safety and Health; Donald H Beezhold - Office of the Director; Donald H Beezhold - Centers for Disease Control and Prevention; John R Cohn - Thomas Jefferson University; William S Silvers - University of Colorado Denver; Ajay P Nayak - Thomas Jefferson University,,
Zika Virus Disease and Pregnancy Outcomes in Colombia,10.1056/nejmoa1911023,New England Journal of Medicine,8/6/2020,2,journal-article,Massachusetts Medical Society,Martha L Ospina - Instituto Nacional de Salud; Van T Tong - Centers for Disease Control and Prevention,,0000-0002-2079-7251; 0000-0002-3970-1440; 0000-0002-7484-9686
Characteristics of Concussion in Elementary School-Aged Children: Implications for Clinical Management,10.1016/j.jpeds.2020.04.001,The Journal of Pediatrics,8/1/2020,1,journal-article,Elsevier BV,Christina L Master - Children's Hospital of Philadelphia; Allison E Curry - Children's Hospital of Philadelphia; Allison E Curry - University of Pennsylvania; Melissa R Pfeiffer - Children's Hospital of Philadelphia; Kristina B Metzger - Children's Hospital of Philadelphia; Ronni Kessler - Children's Hospital of Philadelphia; Juliet Haarbauer-Krupa - National Center for Injury Prevention and Control; Juliet Haarbauer-Krupa - Centers for Disease Control and Prevention; Lara DePadilla - National Center for Injury Prevention and Control; Lara DePadilla - Centers for Disease Control and Prevention; Arlene I Greenspan - National Center for Injury Prevention and Control; Arlene I Greenspan - Centers for Disease Control and Prevention; Matthew J Breiding - National Center for Injury Prevention and Control; Matthew J Breiding - Centers for Disease Control and Prevention; Kristy B Arbogast - Children's Hospital of Philadelphia,,0000-0001-7076-3538; 0000-0001-7133-2537; 0000-0002-1376-7994; 0000-0002-2013-6453; 0000-0002-5068-9315
"Trends in Work-Related Musculoskeletal Disorders From the 2002 to 2014 General Social Survey, Quality of Work Life Supplement",10.1097/jom.0000000000001895,Journal of Occupational and Environmental Medicine,8/1/2020,3,journal-article,Ovid Technologies (Wolters Kluwer Health),Robert B Dick - United States Department of Health and Human Services,,
CrAssphage as a Novel Tool to Detect Human Fecal Contamination on Environmental Surfaces and Hands,10.3201/eid2608.200346,Emerging Infectious Diseases,8/1/2020,2,journal-article,Centers for Disease Control and Prevention (CDC),,,
Factors Associated With HIV Testing Among Atlanta's Homeless Youth,10.1521/aeap.2020.32.4.325,AIDS Education and Prevention,8/1/2020,2,journal-article,Guilford Publications,Ranell L Myles - Centers for Disease Control and Prevention; Janae N Best - University of Michigan–Ann Arbor; Greg Bautista - Centers for Disease Control and Prevention; Eric R Wright - Georgia State University; Ana LaBoy - Georgia State University; Zewditu Demissie - United States Public Health Service; Hazel D Dean - Centers for Disease Control and Prevention,,0000-0003-0624-819X
